cardNumber,masterCardId,coingeckoId,name,symbol,cardTitle,cardSubtitle,flavorText,setCode,collectionCode,edition,artist,visualIdentityCore,heroFocus,allowedMotifs,forbiddenMotifs,colorCues,artTone,archetype,cardworthiness,primaryChain,heroArtworkPrompt
S01-019,MCG-049,pikaboss,Pikaboss,PIKA,Pikaboss,Electric Yellow Legend,It chose you. The market didn't.,S01,GENESIS,Edition 1,TBD,Electric yellow creature — Pikachu energy meets meme coin absurdity,"Round electric yellow creature boss — commanding, glowing, electric power aura","electric sparks, yellow glow, boss energy, pixel lightning, Pika face","actual Pikachu trademark, Nintendo logos, doge, pepe, generic pokemon","electric yellow #FFD700, spark white, dark background",electric / boss / playful yellow,ANIMALS,B+,Ethereum,"Pikaboss PIKA: electric yellow boss creature radiating lightning energy, Pikachu-inspired but distinct meme boss — Electric yellow creature boss, glowing sparks, commanding presence"
S01-020,MCG-055,wojak,Wojak,WOJAK,Wojak,The Face of Every Trade,The face of every bad trade.,S01,GENESIS,Edition 1,TBD,"The crying wojak face — universal degen emotion, the internet's own sad sack","Classic Wojak face — the round bald sad profile, crying or blank stare","crying wojak, pink wojak variants, degen emotions, -99% chart, dark humor","pepe frog, doge, chad (different meme), actual trading UI, bitcoin","skin beige, tears blue, dark background, red loss tones",tragic / comic / degen soul,CHARACTERS,B+,Ethereum,"Wojak WOJAK: crying wojak profile face, the universal crypto degen emotion, tears streaming, dark humor — Classic wojak profile, round bald head, sad expression, degen culture icon"
S01-021,MCG-013,melania-meme,Melania Meme,MELANIA,Melania Meme,First Lady Token,Elegance tokenized.,S01,GENESIS,Edition 1,TBD,Melania golden elegance — luxury fashion aesthetic meets meme coin,Melania golden silhouette — luxury fashion meme coin energy,"Melania silhouette, gold luxury fashion, MELANIA text, first lady elegance","Trump (separate token), doge, pepe, generic meme collage","gold, cream white, luxury navy",elegant / luxury / gold-fashion,CHARACTERS,B+,Solana,"Melania Meme MELANIA: Melania Trump official meme, golden luxury elegance — Melania golden elegance — luxury fashion aesthetic meets meme coin"
S01-022,MCG-031,gigachad-2,Gigachad,GIGA,Gigachad,Absolute Unit,You either are giga or you aren't.,S01,GENESIS,Edition 1,TBD,Gigachad meme identity — culture meme energy,Gigachad logo and culture meme identity clearly centered,"Gigachad logo, culture meme motifs, community energy","doge, pepe, bitcoin, ethereum, generic crypto collage, unrelated meme characters","token brand colors, dark background",meme / playful / community,CHARACTERS,B+,Solana,Gigachad (GIGA): culture meme meme token — Gigachad meme identity — culture meme energy
S01-023,MCG-017,baby-doge-coin,Baby Doge Coin,BABYDOGE,Baby Doge,Doge's Pup,Even smaller. Even more hype.,S01,GENESIS,Edition 1,TBD,"Baby version of shiba doge — tiny pup, cuter and smaller, baby warmth","Tiny baby shiba inu pup — unmistakably a baby, smaller and cuter than DOGE","baby shiba puppy, miniature doge, baby warmth colors, small paw prints, ""baby"" energy","adult doge face, pepe, shib, bitcoin, generic dogs","soft gold, baby cream, warm pastel",cute / mini / baby warmth,ANIMALS,B,BNB Chain,"Baby Doge Coin BABYDOGE: tiny baby shiba inu puppy, mini doge energy — Baby version of shiba doge — tiny pup, cuter and smaller, baby warmth"
S01-024,MCG-066,why,WHY,WHY,WHY,Existential Token,No reason. That's the reason.,S01,GENESIS,Edition 1,TBD,"Pure nihilism meme — giant WHY floating in void, absurd existential humor","Bold WHY text in cosmic void — a question without an answer, degen philosophy","WHY text, existential void, question marks, dark space, confused wojak silhouette","doge, pepe, bitcoin, ETH, happy optimistic imagery, moon rockets","black void, white WHY text, subtle purple existential glow",nihilist / absurd / dark comedy,CONCEPTS,B,Solana,"WHY: giant bold WHY text floating in existential void, cosmic nihilism, degen philosophy — Pure absurdist existential meme coin, question without answer, void aesthetic"
S01-025,MCG-019,turbo,Turbo,TURBO,Turbo,AI-Created Meme,Made by an AI on a dare. Still running.,S01,GENESIS,Edition 1,TBD,"Turbo toad — the AI-generated frog meme, different from Pepe, born from a $69 bet","Turbo toad character — distinct design from Pepe, more mechanical/turbo energy","Turbo toad (not Pepe), speed energy, AI genesis motif, $69 challenge reference, fast turbo lines","Pepe frog (CRITICAL confusion — both frogs), doge, bitcoin, ChatGPT logo overload","turbo orange, electric yellow, speed gradient",electric / AI-born / fast,CHARACTERS,B+,Ethereum,"Turbo TURBO: AI-created turbo toad meme, electric speed energy, ChatGPT-born coin — Turbo toad — the AI-generated frog meme, different from Pepe, born from a $69 bet"
S01-026,MCG-008,spx6900,SPX6900,SPX,SPX6900,Market Meme,S&P who?,S01,GENESIS,Edition 1,TBD,SPX green candle chart parody — stock market aesthetic turned meme,Absurd green candle chart going vertical — TradFi meme parody energy,"S&P 500 parody chart, green candles, suit-wearing pepe/wojak vibes, ""number go up"" energy","doge, shib, bitcoin, real stock tickers, actual financial data","green #00FF00, dark background, chart yellow",ironic / financial / green candle,CHARACTERS,B+,Ethereum,"SPX6900 SPX: S&P 500 parody meme coin, absurd green candle chart energy — SPX green candle chart parody — stock market aesthetic turned meme"
S01-027,MCG-016,based-brett,Brett,BRETT,Brett,Base's Blue Frog,Brett just vibes.,S01,GENESIS,Edition 1,TBD,"Brett blue frog — a different frog character from Pepe, same Boy's Club comics origin","Brett blue frog face — clearly blue, different from green Pepe, Base chain energy","Brett blue frog face, Base chain blue, Boy's Club comic origin, chill energy","Pepe green frog (CRITICAL confusion — same universe but different character), doge, bitcoin","Brett blue #4169E1, sky blue, Base blue",blue / chill / Base vibe,CHARACTERS,A-,Base,"Brett BRETT: blue frog meme, Base chain, Pepe's friend from Boy's Club comics — Brett blue frog — a different frog character from Pepe, same Boy's Club comics origin"
S01-028,MCG-028,degen-base,Degen,DEGEN,Degen,Base Chain Degen,Culture eats strategy. Degen eats both.,S01,GENESIS,Edition 1,TBD,"Purple degen hat — the iconic Farcaster degen tipping hat, Base chain culture",The iconic purple degen hat — symbol of Base chain's degen social culture,"degen hat, purple tones, Base chain blue, Farcaster social tipping, degen lifestyle","doge, pepe, bitcoin, ethereum, generic ""degen trader"" imagery","purple #7B2FBE, Base blue, dark background",degen / purple / Base culture,CHARACTERS,B+,Base,"Degen DEGEN: purple degen hat, Base chain meme, Farcaster tipping culture — Purple degen hat — the iconic Farcaster degen tipping hat, Base chain culture"
S01-029,MCG-003,memecore,MemeCore,M,MemeCore,The Meme Chain,The chain that memes built.,S01,GENESIS,Edition 1,TBD,Abstract M symbol in neon chaos — the chain that wants to host all memes,"Abstract M emblem floating in swirling meme energy — symbolic, not specific","abstract M logo, neon meme energy, BNB yellow hint, meme culture collage (abstract only)","specific meme characters (doge, pepe, shib) — avoid specific meme identity to prevent contamination","neon rainbow, dark background, BNB yellow accent",chaotic / neon / meme-overloaded,CONCEPTS,B+,BNB Chain,"MemeCore M: abstract meme blockchain symbol, neon chaos energy, BNB Chain — Abstract M symbol in neon chaos — the chain that wants to host all memes"
S01-030,MCG-010,ape-and-pepe,Ape and Pepe,APEPE,Ape and Pepe,Two Icons,Two legends. One token. Maximum chaos.,S01,GENESIS,Edition 1,TBD,Ape-frog hybrid — BAYC monkey energy fused with Pepe the Frog identity,Ape and Pepe together — a literal duo of two meme icons side by side,"ape character + pepe frog fusion, APEPE logo, Solana colors, meme culture collision","bitcoin, ethereum, doge/shib dog, random crypto collage, single ape or single pepe only","brown ape tones, Pepe green, neon Solana purple",chaotic / hybrid / meme fusion,CONCEPTS,B+,Solana,"Ape and Pepe APEPE: ape and Pepe frog duo meme, fusion of two icons — Ape-frog hybrid — BAYC monkey energy fused with Pepe the Frog identity"
S01-031,MCG-018,rekt-4,Rekt,REKT,Rekt,Portfolio -99%,You got rekt. Now collect the card.,S01,GENESIS,Edition 1,TBD,Crying wojak in fire — the universal degen rite of passage: getting rekt,Rekt wojak staring at empty portfolio — dark humor degen culture,"crying wojak, portfolio -99%, fire/liquidation, REKT text, dark humor loss meme","doge, pepe, bitcoin, moon rockets (ironic opposite), profit charts","dark red, black, crying blue, fire orange",tragic / comedic / degen,CONCEPTS,B+,Solana,"Rekt REKT: crying wojak liquidated, -99% portfolio, degen meme — Crying wojak in fire — the universal degen rite of passage: getting rekt"
S01-032,MCG-027,book-of-meme,BOOK OF MEME,BOME,BOOK OF MEME,The Sacred Text,Sacred text. Immutable.,S01,GENESIS,Edition 1,TBD,Ancient book with meme hieroglyphs — the sacred text of internet meme culture,Ancient sacred book opened to meme scripture pages,"ancient book with meme imagery, sacred scroll, meme hieroglyphs, darkfarm art style","specific doge/pepe faces as dominant (book should reference culture abstractly), bitcoin","aged parchment, gold ink, dark sacred tones",sacred / ancient / chaotic,CONCEPTS,B+,Solana,"Book of Meme BOME: sacred ancient book of meme culture, Solana scripture — Ancient book with meme hieroglyphs — the sacred text of internet meme culture"
S01-033,MCG-032,goatseus-maximus,Goatseus Maximus,GOAT,Goatseus Maximus,Goat of Memes,The goat was terminal on X. It mooned.,S01,GENESIS,Edition 1,TBD,Goatseus Maximus meme identity — meme energy,Goatseus Maximus logo and meme identity clearly centered,"Goatseus Maximus logo, meme motifs, community energy","doge, pepe, bitcoin, ethereum, generic crypto collage, unrelated meme characters","token brand colors, dark background",meme / playful / community,CONCEPTS,B+,Solana,Goatseus Maximus (GOAT): meme meme token — Goatseus Maximus meme identity — meme energy
S01-034,MCG-033,banana-gun,Banana Gun,BANANA,Banana Gun,Snipe to Win,Shoot first. Ask banana later.,S01,GENESIS,Edition 1,TBD,Banana Gun meme identity — meme energy,Banana Gun logo and meme identity clearly centered,"Banana Gun logo, meme motifs, community energy","doge, pepe, bitcoin, ethereum, generic crypto collage, unrelated meme characters","token brand colors, dark background",meme / playful / community,CONCEPTS,B+,Ethereum,Banana Gun (BANANA): meme meme token — Banana Gun meme identity — meme energy
S01-035,MCG-036,act-i-the-ai-prophecy,Act I The AI Prophecy,ACT,Act I The AI Prophecy,AI Prophecy,Act one. No intermission.,S01,GENESIS,Edition 1,TBD,Act I The AI Prophecy meme identity — meme energy,Act I The AI Prophecy logo and meme identity clearly centered,"Act I The AI Prophecy logo, meme motifs, community energy","doge, pepe, bitcoin, ethereum, generic crypto collage, unrelated meme characters","token brand colors, dark background",meme / playful / community,CONCEPTS,B+,Solana,Act I The AI Prophecy (ACT): meme meme token — Act I The AI Prophecy meme identity — meme energy
S01-036,MCG-034,vine,Vine,VINE,Vine,Platform of Legends,6 seconds was enough.,S01,GENESIS,Edition 1,TBD,Vine meme identity — meme energy,Vine logo and meme identity clearly centered,"Vine logo, meme motifs, community energy","doge, pepe, bitcoin, ethereum, generic crypto collage, unrelated meme characters","token brand colors, dark background",meme / playful / community,CONCEPTS,B+,Solana,Vine (VINE): meme meme token — Vine meme identity — meme energy
S01-037,MCG-030,pepecoin-network,Pepecoin,PEP,Pepecoin,The First Frog,"The original frog, again.",S01,GENESIS,Edition 1,TBD,Pepecoin meme identity — frog meme energy,Pepecoin logo and frog meme identity clearly centered,"Pepecoin logo, frog meme motifs, community energy","doge, pepe, bitcoin, ethereum, generic crypto collage, unrelated meme characters","token brand colors, dark background",meme / playful / community,WILDCARD,B+,Unknown,Pepecoin (PEP): frog meme meme token — Pepecoin meme identity — frog meme energy
S01-038,MCG-025,just-a-frog,just a frog,FROG,just a frog,Not Pepe,It is literally just a frog.,S01,GENESIS,Edition 1,TBD,"Plain ordinary frog — pointedly not Pepe, ironic normie frog","A plain generic frog — pointedly NOT Pepe, just... a frog","generic plain frog, ""just a frog"" text, ordinary lily pad, ironic normie energy","Pepe face (CRITICAL — different frog identity), Brett, Turbo frog, doge, bitcoin","plain green, lily pad, water blue, simple tones",ironic / humble / plain,WILDCARD,B,Solana,"just a frog FROG: plain ordinary frog, not Pepe, humble ironic Solana meme — Plain ordinary frog — pointedly not Pepe, ironic normie frog"
S01-039,MCG-041,apu-s-club,Apu Apustaja,APU,Apu Apustaja,Fren Needs Help,Apu is trying his best.,S01,GENESIS,Edition 1,TBD,Apu Apustaja meme identity — meme energy,Apu Apustaja logo and meme identity clearly centered,"Apu Apustaja logo, meme motifs, community energy","doge, pepe, bitcoin, ethereum, generic crypto collage, unrelated meme characters","token brand colors, dark background",meme / playful / community,WILDCARD,B,Solana,Apu Apustaja (APU): meme meme token — Apu Apustaja meme identity — meme energy
S01-040,MCG-046,milady-meme-coin,Milady Meme Coin,LADYS,Milady Meme Coin,Aesthetic Token,Milady. No further explanation.,S01,GENESIS,Edition 1,TBD,Milady Meme Coin meme identity — meme energy,Milady Meme Coin logo and meme identity clearly centered,"Milady Meme Coin logo, meme motifs, community energy","doge, pepe, bitcoin, ethereum, generic crypto collage, unrelated meme characters","token brand colors, dark background",meme / playful / community,WILDCARD,B,Ethereum,Milady Meme Coin (LADYS): meme meme token — Milady Meme Coin meme identity — meme energy
S01-041,MCG-061,bobo-coin,Bobo Coin,BOBO,Bobo,The Bear Lord,Pepe is bullish. Bobo is inevitable.,S01,GENESIS,Edition 1,TBD,"Dark bear antagonist — the eternal opposite of Pepe, bear market incarnate","Bobo the bear — dark menacing bear face, red market energy, Pepe's nemesis","dark bear, red candles, bear market crash, Bobo face, antagonist energy","Pepe (rival must not share card), doge, bitcoin bulls, moon rockets","dark red #8B0000, bear brown, black, blood red candles",menacing / dark / antagonist,CHARACTERS,B,Ethereum,"Bobo BOBO: menacing bear meme, dark red bear market energy, Pepe's eternal nemesis — Dark bear with red market aura, antagonist meme energy, crash incarnate"
S01-042,MCG-076,american-coin,American Coin,USA,American Coin,Eagle Energy,Liberty. Justice. 100x.,S01,GENESIS,Edition 1,TBD,"Patriotic American eagle meme — flag, freedom, absurd political meme energy","Bold American eagle — flag colors, patriotic absurdism, freedom meme coin","american eagle, US flag, stars and stripes, freedom text, patriotic gold","TRUMP (separate token), doge, pepe, generic crypto, non-american symbols","red #B22234, white, navy #002868, eagle gold",bold / patriotic / absurdist freedom,CONCEPTS,B,Solana,"American Coin USA: patriotic bald eagle meme, US flag colors, freedom absurdism, liberty meme token — Bold eagle with flag backdrop, patriotic meme energy, freedom incarnate"
S01-043,MCG-053,the-doge-nft,Own The Doge,DOG,Own The Doge,Fractional Legend,The original Doge NFT. Fractionalized. Democratized.,S01,GENESIS,Edition 1,TBD,"The original Doge photo as sacred artifact — pixelated, fractionalized, legendary",Original Doge photo as shattered NFT mosaic — fractional pieces of internet history,"original doge photo, NFT frame, pixel mosaic, fractionalization, legendary artifact","cartoon doge (must be photo-referencing), pepe, shib, generic NFT","warm gold, museum white, NFT glow, pixel shatter",legendary / nostalgic / historic artifact,CONCEPTS,B+,Ethereum,"Own The Doge DOG: original Kabosu doge photo as fractionalized NFT artifact, pixel mosaic, internet history — Original doge photo sacred mosaic, fractional NFT legend"
S01-044,MCG-057,nietzschean-penguin,Nietzschean Penguin,PENGUIN,Nietzschean Penguin,God is Rekt,God is dead. Penguin is pumping.,S01,GENESIS,Edition 1,TBD,Philosopher penguin with monocle — absurd intellectual meets degen meme culture,"Stern philosophical penguin — monocle, pipe, contemplative look, Nietzsche vibes","penguin with monocle, philosopher hat, existential backdrop, chaos runes, dark academia","Pudgy Penguins (CRITICAL confusion), cute penguins, pastel colors, doge, pepe","dark charcoal, academic brown, gold monocle, black penguin",dark / philosophical / absurd intellectual,WILDCARD,B,Solana,"Nietzschean Penguin PENGUIN: stern philosopher penguin with monocle, dark academic aesthetic, existential degen — Philosophical penguin, monocle, dark academia, clearly NOT Pudgy Penguins"
S01-045,MCG-068,hachiko,Hachiko,HACHI,Hachiko,The Loyal One,Waited forever. Holders understand.,S01,GENESIS,Edition 1,TBD,"Hachiko the loyal Akita — bittersweet Japanese dog legend, eternal wait meme","Akita Hachiko at Shibuya station — loyal, waiting, slightly melancholic but warm","Akita dog, Shibuya station, Japanese aesthetic, loyalty motifs, subtle sakura","doge shiba (different breed), pepe, western dog breeds, generic dog collage","warm cream Akita, Shibuya neon reflections, bittersweet gold",bittersweet / loyal / Japanese warmth,ANIMALS,B,BNB Chain,"Hachiko HACHI: loyal Akita at Shibuya station, Japanese legend, bittersweet waiting — Faithful Akita at station, warm loyalty energy, subtle Japanese aesthetic"
